pop,years,Ne
Africa,100.0,58292.160637872425
Africa,100.92621909870473,58321.31304108174
Africa,101.86101701559753,58279.26389018225
Africa,102.80447320933096,58279.26389018225
Africa,103.7566678745186,58256.34659237205
Africa,104.71768194855203,58223.40999656519
Africa,105.6875971184804,58223.40999656519
Africa,106.66649582795388,58223.40999656519
Africa,107.65446128423159,58210.30985258243
Africa,108.65157746525384,58194.49414626118
Africa,109.65792912678099,58194.49414626118
Africa,110.67360180959733,58194.49414626118
Africa,111.69868184678225,58194.49414626118
Africa,112.73325637104871,58194.49414626118
Africa,113.77741332214913,58152.948437911444
Africa,114.83124145435112,58065.766924011274
Africa,115.89483034398106,58048.41471872862
Africa,116.96827039703847,58041.58912503217
Africa,118.05165285688055,58021.30710224213
Africa,119.14506981197759,58015.96225065442
Africa,120.24861420374123,58009.468707484644
Africa,121.36237983442405,58010.76474686802
Africa,122.48646137509307,58007.46294472444
Africa,123.62095437367692,57942.67825550561
Africa,124.76595526308698,57892.29207551824
Africa,125.9215613694151,57878.76949166694
Africa,127.08787092020583,57842.94993883585
Africa,128.26498305280597,57821.36458653078
Africa,129.45299782279162,57758.07899423255
Africa,130.65201621247212,57722.63469675034
Africa,131.86214013947486,57679.21835780604
Africa,133.08347246540748,57652.09311058173
Africa,134.31611700460152,57652.09311058173
Africa,135.56017853293687,57600.06795895486
Africa,136.81576279674718,57652.09311058173
Africa,138.08297652180923,57679.21835780604
Africa,139.3619274224142,57624.190282580974
Africa,140.65272421052364,57557.189214211015
Africa,141.95547660501015,57485.29814863905
Africa,143.2702953409831,57466.325361756666
Africa,144.59729217920196,57375.223901397
Africa,145.9365799155756,57330.99641292791
Africa,147.28827239075017,57315.96588768065
Africa,148.65248449978571,57284.662461932254
Africa,150.02933220192182,57226.443515996725
Africa,151.4189325304352,57183.29719205512
Africa,152.8214036025869,57138.814368092615
Africa,154.23686462966288,57082.81528157387
Africa,155.6654359271062,56913.332454935604
Africa,157.10723892474505,56731.319709478434
Africa,158.5623961771137,56697.77774111868
Africa,160.03103137387,56541.64049356597
Africa,161.51326935030912,56299.66223167746
Africa,163.0092360979741,56213.00966454968
Africa,164.51905877536623,55927.9059019504
Africa,166.04286571875295,55138.40732940443
Africa,167.5807864530767,54727.29162351516
Africa,169.13295170296487,53084.65971895598
Africa,170.6994934038408,51537.39120767062
Africa,172.2805447131394,48566.9995633513
Africa,173.87624002162502,45404.705617104
Africa,175.486714964815,43588.06841112713
Africa,177.11210643450886,41643.32855651332
Africa,178.75255259042353,38175.236351194224
Africa,180.40819287193827,36964.40535832354
Africa,182.07916800994624,33711.9408885169
Africa,183.76562003881708,32989.91362094422
Africa,185.46769230846996,32372.129565065465
Africa,187.18552949655793,32029.571620496135
Africa,188.91927762076665,31307.49132031686
Africa,190.6690840512252,30933.226420178067
Africa,192.43509752303302,30067.096669453516
Africa,194.21746814890264,29570.04547776971
Africa,196.01634743191858,29351.247948619777
Africa,197.83188827841641,28692.43842981848
Africa,199.66424501097933,28100.594619908254
Africa,201.51357338155583,27932.931434269638
Africa,203.3800305846982,27571.61355019721
Africa,205.2637752709252,27478.14079583774
Africa,207.1649675602069,27399.58449628846
Africa,209.083769055575,27146.79570270469
Africa,211.02034285685966,27001.440710746745
Africa,212.9748535745521,26794.830021159258
Africa,214.94746734379805,26742.519835567648
Africa,216.93835183851843,26593.21899587709
Africa,218.94767628566206,26531.39884510298
Africa,220.9756114795903,26440.868996816178
Africa,223.02232979659385,26431.083651001398
Africa,225.08800520954617,26314.19799325517
Africa,227.17281330269049,26291.9385706115
Africa,229.27693128656486,26291.9385706115
Africa,231.40053801306541,26231.486318490293
Africa,233.54381399064792,26070.544352456334
Africa,235.7069413996728,26011.179807379078
Africa,237.89010410788933,25992.35355998315
Africa,240.09348768606517,25958.433443482587
Africa,242.31727942376006,25909.538245990407
